Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
Brand New Silver Room at 15 mercer st From StueHousing,1450,"Mercer Street, Toronto, ON",2024-03-12 00:24:42,,,,,,,,,No,,Yes,,,,,,"Located at 15 mercer Street, this Silver room has its own private washroom and third room of the unit. Located in Toronto Downtown, this unique condo has a very good location, 10 minutes walking distance from Yonge Dundas Square. This new residence is being rented with brand new fully furnitures. Short and long term rentals are available only to international students. The price includes all bills and is ready to move in. Our rooms have all the items you need (table, chair, bed, wardrobe, TV, lamp). The building features include social common areas such as gym, theater room, barbecue terrace, lobby and game room. As StueHousing, we are a company that offers short and long-term accommodation services to international students. All our apartments are rented to young and international students. For this reason, while you stay safe and comfortable, you can also socialize with your roommates and have a unique experience in Toronto. Available from March 10st.",7 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/brand-new-silver-room-at-15-mercer-st-from-stuehousing/1687961252
Newly Renovated 1 bed 1 bath - All Utilites Included & Pets OK,2000,"584 Northcliffe Blvd #1A, York, ON, M6E 3L7",2024-03-12 00:24:00,Apartment,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,1 Year,"April 1, 2024",Yes,500,No,Yes,Yard,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-renovated-1-bed-1-bath-all-utilites-included-pets-ok/1687960758
Premium Reno Basement Fully Furnished 3 Bdrm (Roommate Rental),,"North York, ON M3H 4N3",2024-03-12 00:21:59,Basement,3,1,,Not Included,1,1 Year,"April 1, 2024",No,"1,500",Yes,Yes,Not Included,No,"Laundry (In Building), Fridge / Freezer",,"Premium renovated and fully furnished basement for rent. Main intersection at Sheppard Ave West & Bathurst Street. Close to Transit. Amenities included: restaurants, Malls, Grocery stores, banks, parks and etc.",12 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/premium-reno-basement-fully-furnished-3-bdrm-roommate-rental/1687961020
--Furnished room All-inclusive 5 minutes to Seneca College ( New,950,"North York, ON M3A",2024-03-12 00:21:29,,,,,,,,,No,,Yes,,,,,,"--Furnished room All-inclusive 5 minutes to Seneca College ( Newham Campus) Don Mills& Finch area 1 bus to Subway 7-10 minutes to Finch Subway or Sheppard Subway, Go station (Old Cummer station) very convenient location steps to TTC bus ( 24 hours) Sunny supermarket, Cibc bank, bakery, convenience store, plaza, stores, restaurants .......and a lot more suitable for international students, professionals, working people, No Smoke, No Vapour,no drugs no illegal activities,No pets-No guests- No strong spices-, Looking for a clean, tidy, orderly, responsible, respectful, reliable, quiet, environmentally conscious, Individual, required first and last month's rent, $950/month follow the house rules all the time, and utilities are included in the price Shared kitchen( light use only), laundry, 2 full washrooms, and No parking available -- Month-to-month lease - Available for viewing anytime to book an appointment or for any additional information please text only(647) 886-0999 Thank you",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-all-inclusive-5-minutes-to-seneca-college-new/1687960979
Brand New flex Room at 15 mercer st From StueHousing,1250,"Mercer Street, Toronto, ON",2024-03-12 00:21:07,,,,,,,,,No,,Yes,,,,,,"Located at 15 mercer Street, this flex room has its own private washroom and third room of the unit. Located in Toronto Downtown, this unique condo has a very good location, 10 minutes walking distance from Yonge Dundas Square. This new residence is being rented with brand new fully furnitures. Short and long term rentals are available only to international students. The price includes all bills and is ready to move in. Our rooms have all the items you need (table, chair, bed, wardrobe, TV, lamp). The building features include social common areas such as gym, theater room, barbecue terrace, lobby and game room. As StueHousing, we are a company that offers short and long-term accommodation services to international students. All our apartments are rented to young and international students. For this reason, while you stay safe and comfortable, you can also socialize with your roommates and have a unique experience in Toronto. Available from March 29st.",16 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/brand-new-flex-room-at-15-mercer-st-from-stuehousing/1687960940
Furnished Basement for Rent Scarborough,1100,"Scarborough, ON M1K",2024-03-12 00:19:28,Basement,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,1 Year,"March 15, 2024",No,350,Yes,Yes,Yard,No,"Laundry (In Unit), Fridge / Freezer",,"Furnished Basement for Rent in Scarborough
Ideal for Vegetarian Single Working Professional
Location: Eglinton – Birchmount
Available as long as this listing is up.
Introduction:
Welcome! Thank you for considering our spacious basement for your next home. We're looking for a friendly and responsible tenant who will appreciate this comfortable living space. Please drop us an email to schedule a showing and introduce your self briefly to
cluri at hotmail dot com
Features:
Ideal Tenant: Vegetarian Single Working Lady professional preferred.
Restrictions: Vegetarian, Non-Smoker, No Pets.
Rental Terms: Short-term or long-term lease available starting from March 15th, 2024.
Private Entrance: Enjoy your own separate entrance for added privacy.
Kitchenette: Equipped with stove, microwave, toaster, and fridge for your convenience.
Furniture: Includes a comfortable single bed with mattress, study table, and chair. Plus, a spacious closet for your belongings.
Private Bathroom: Relax with your own private bathroom featuring a standing shower.
Laundry Access: Convenient access to laundry facilities within the premises.
Parking: One rear parking spot available for your vehicle.
Safe Neighborhood: Located in a quiet and safe neighborhood, providing peace of mind.
Convenience: Close proximity to TTC transit and shopping centers. Easy access to Warden and Kennedy Subway stations.
Location: Chelwood and Birchmount.
Requirements:
Application Process: A credit check report, employment details and recent pay stubs and Bank Statements.
References: Two references, One from previous Landlord and another from current Employer.
Security Deposit: First and last month's rent, along with two pieces of ID.
Rent Details:
Monthly Rent: $1100 per month.
Utilities: Tenant responsible for 1/3 of utilities, approximately $150 per month, covering hydro, water, WIFI, and parking.
Don't miss this opportunity to make this beautiful basement your new home! Reach out today to schedule a viewing and secure your spot.",35 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-basement-for-rent-scarborough/1687960828
Room for Rent in Townhome. Females only.,1000,"North York, ON M6A 2M8",2024-02-15 21:36:21,,,,,,,,,No,,Yes,,,,,,"Room for rent at Lawrence West subway and the Allen highway in a townhome near Lawrence Square and Yorkdale. Furnished room with double bed, dresser, night table, closet, and floor lamp. Access to two washrooms, shared kitchen, living/dining rooms, laundry room, access to backyard patio and BBQ. Walking distance to Metro and Fortinos grocers, Canadian Tire, HomeSense, Dollarama, etc....month to month and short-term rental available...",233 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-in-townhome-females-only/1684180840
Renovated 1 Bdrm.  Apt.  for Rent in Toronto's Danforth Village!,2250,"2575 Danforth Avenue, Toronto, ON, M4C 1L5",2024-02-21 00:19:14,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,Yes,Not Available,No,No,Balcony,No,"Laundry (In Building), Dishwasher, Fridge / Freezer",Elevator in Building,"Live well at Main Square Apartments; perfectly located at Danforth and Main, surrounded by convenience! Need daycare? The Main Square Daycare is located on-site. Danforth Village is a shopper's paradise with many favourites within walking distance: Sobeys, Loblaws and Canadian Tire. All these services compliment your bright and airy living space. This vibrant Toronto neighbourhood will fulfill your every need.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-1-bdrm-apt-for-rent-in-torontos-danforth-village/1505826289
YORK UNIVERSITY,750,"22 Sheffer Terrace, North York, ON",2024-02-17 17:35:44,,,,,,,,,No,,Yes,,,,,,"1. There are 4 huge windows in the room. Room is in the first floor. Share washroom. Price is $900.
2. The room is on the second floor with private washroom. Price is $1100.
2. There are 2 huge windows in the basement. There is private washroom and private balcony in the room. Price is $1000.
4. The room is on the third floor. Share washroom and balcony. Price is $850.
5. The room is in the basement. Share washroom. Price is $750.","1,021 visits",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/york-university/1685598399
Brand New 2-bedroom Rental in North York!  York Mills Rd. & DVP!,2690,"1225 York Road, Toronto, ON, M3A 1Y4",2024-03-04 00:39:41,Apartment,2,1,,Not Included,0,1 Year,,Yes,Not Available,No,Yes,Balcony,Yes,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Bicycle Parking, Storage Space, Elevator in Building","Realstar's ONE225 York Mills is North Yorks newest apartment rentals in the Parkwoods-Donalda area of Toronto, just south of the 401. This condo-styled property offers 100% smoke-free living; perfectly located at York Mills Road and the Don Valley Parkway. ONE225 York Mills offers stylish one, two, two-plus den, three and three-plus den suites. Enjoy our first-class amenities designed to provide you and your guest with an extraordinary, carefree lifestyle experience. We cannot wait to welcome you home!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-2-bedroom-rental-in-north-york-york-mills-rd-dvp/1679403688
105 West Lodge - Studio Apartment in the Heart of Parkdale Apart,2069,"105 West Lodge, Toronto, ON, M6K 2T8",2024-03-11 21:37:44,Apartment,Bachelor/Studio,1,,Not Included,0,1 Year,,Yes,411,No,No,Not Included,No,,,Building Overivew,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/105-west-lodge-studio-apartment-in-the-heart-of-parkdale-apart/1678918599
"1,250 sqft private industrial warehouse for rent in Brampton",2850,"-, Brampton, ON, L6T 5G7",2024-03-11 17:13:28,,,,,,,,,,"1,250",No,,,,,,The space is available if this posting is up; please provide a phone number for us to respond to!,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/1-250-sqft-private-industrial-warehouse-for-rent-in-brampton/1687002575
For Rent - Luxious One-Bedroom Condo at Yonge and Eglinton,2450,"York, ON M6C 2Y3",2024-03-12 00:19:19,Condo,1,1,,Not Included,0,1 Year,"May 1, 2024",Yes,514,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","This beautiful one-bedroom unit is located on the 51st floor of the luxurious eCondo at the heart of Yonge and Eglinton with breathtaking views! It has a great layout with 9’ high ceiling and a large walk-out balcony. The unit comes with central AC/heating system, integrated fridge, dishwasher, microwave, induction cooktop, oven, washer, and dryer. A private locker is included. The building is equipped with tons of amenities including 24-hour concierge/security, a swimming pool overlooking the city, a gym, a yoga/boxing room, a party room, and BBQ area. It’s steps away from the Eglinton subway station, as well as countless trendy restaurants, cafes, grocery stores, shopping malls, community centre, and all types of special gyms. It’s a great place for one or a couple to call it home and enjoy the community in the exciting city.
•	No smoking.
•	Pets friendly.
•	No parking is included, but parking spot can be rented from others in the building.
•	Utilities are paid by tenants.
•	Credit report, referral, employment letter is required.
•	Available to move in on May 1, 2024.",11 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/for-rent-luxious-one-bedroom-condo-at-yonge-and-eglinton/1687960817
Full Basement for Rent,2100,"Lawrence Avenue East, Scarborough, ON",2024-03-12 00:17:48,Basement,2,1,,Internet,1,1 Year,"March 12, 2024",No,"1,200",No,Yes,Not Included,No,"Laundry (In Unit), Fridge / Freezer",,"Freshly painted full basement in the Scarborough west hill are includes the following : `2 bedrooms 1 washroom 1 store room 1 cold room with kitchen
included in Rent
1- One parking
2- High speed Internet included
3-Laundry washer and dryer in unit",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/full-basement-for-rent/1687960683
2 Bdrm Penthouse Furnshd Downtown $900/Wk  from Mar15,900,"Toronto, ON M5A 4R1",2024-03-12 00:16:13,,,,,,,,,,,Yes,,,,,,"Available from March 15.
Beautiful 2-level penthouse at the heart of the historic Distillery District
- Rent it for 1 week to 3 months
- Weekly rental - $900 Monthly $2,975
- Furnished and equipped (Microwave, dishwasher, coffee maker, dishes, cutlery. kitchen stuff, ensuite washer and dryer, etc.)
- Large terrace, hardwood floors, new kitchen + bathroom hardware, newly painted.
- Public transit at the door. (Transit score 94)
- Walking distance to St. Lawrence Market, Financial District, Supermarkets, LCBO and more.
- Easy access to Don Valley Pkwy and Gardiner
- The Distillery District across the street has 15 retail stores and boutiques, 15 art galleries, 17 restaurants and cafes, and a live theatre.
- YMCA 1 ½ block away has 2 pools, an indoor track and gym, weight room, cardio machines, green roof, cycling studio, functional fitness training space, and more.",,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/2-bdrm-penthouse-furnshd-downtown-900-wk-from-mar15/1682776134
One Bedroom in Shared Two Story Apartment for Rent,1500,"North York, Toronto, ON M3H 0C6",2024-03-12 00:15:30,Apartment,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,1 Year,"April 7, 2024",No,650,No,Yes,YardBalcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","With all the perks of a house with the amenities and convenience of a condo, 565 Wilson checks off all the boxes. Just in time for spring, this spacious one bedroom in a two story condo can be yours as you live on the ground floor with your own bathroom and a shared kitchen and living area. Features large kitchen, bathroom, living area, in suite laundry, all utilities (heating, hydro, wifi) walk in closet and even storage space. The unit has hardwood floors and is partially furnished (living area.) Complete with 20 feet ceilings, ample lighting, floor to ceiling windows, new counter tops and stainless steel appliances, staying in on the weekends may not be so bad at all! Every amenity from 24-hour concierge, gated community, underground access to subway station, gym, pool, sauna, party room, rooftop terrace with barbeque, convenience store, pharmacy and walk-in clinic there is really too much to mention. This suite is a couple minutes from Wilson Station, 10 minutes away from the highway, near anchor grocery stores such as Metro/No Frills. Feel free to book a viewing to see if this offering is right for you!",366 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-in-shared-two-story-apartment-for-rent/1686573621
FINCH&BATHURST-MALE ONLY-MONTH TO MONTH RENTAL-TTC SUBWAY,1150,"North York, ON M2R",2024-03-12 00:12:19,Apartment,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,"March 12, 2024",No,350,Yes,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Concierge, 24 Hour Security, Elevator in Building","Welcome,",38 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/finch-bathurst-male-only-month-to-month-rental-ttc-subway/1687960142
FINCH&BATHURST-MALE ONLY-MONTH TO MONTH RENTAL-TTC SUBWAY,850,"North York, ON M2R",2024-03-12 00:12:02,,,,,,,,,No,,No,,,,,,If your looking for a relaxed safe environment then this is the listing for you. Prestigous area with parks amenties plazas minutes away ! Don't miss out on this rare find ! Location is centeral and desirable by many.,5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/finch-bathurst-male-only-month-to-month-rental-ttc-subway/1687960113
Basement with private bathroom,1000,"Scarborough, ON M1M 1R5",2024-03-12 00:11:34,Basement,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,1 Year,"April 1, 2024",No,700,Yes,Yes,Not Included,Outdoors only,"Laundry (In Unit), Fridge / Freezer",,"Spacious Basement room with seperate washroom available for rent at Kingston Markham Intersection. 2 minutes from TTC bus stop. Electricity, Wifi and Gas included. Looking for tenant with vegetarian food preferences as the kitchen will be shared.
Room available from April 1st 2024",49 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-with-private-bathroom/1687960076
Basement with private bathroom,1000,"Scarborough, ON M1M 1R5",2024-03-12 00:11:03,Basement,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,1 Year,"April 1, 2024",No,700,Yes,Yes,Not Included,Outdoors only,"Laundry (In Unit), Fridge / Freezer",,"Spacious Basement room with seperate washroom available for rent at Kingston Markham Intersection. 2 minutes from TTC bus stop. Electricity, Wifi and Gas included. Looking for tenant with vegetarian food preferences as the kitchen will be shared.
Room available from April 1st 2024",39 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-with-private-bathroom/1687960013
Brand New Master Room at 121 low sherbourne st. From StueHousing,1900,"Lower Sherbourne Street, Toronto, ON",2024-03-12 00:10:11,,,,,,,,,No,,Yes,,,,,,"Located at 15 mercer Street, this Master room has its own private washroom and third room of the unit. Located in Toronto Downtown, this unique condo has a very good location, 10 minutes walking distance from Yonge Dundas Square. This new residence is being rented with brand new fully furnitures. Short and long term rentals are available only to international students. The price includes all bills and is ready to move in. Our rooms have all the items you need (table, chair, bed, wardrobe, TV, lamp). The building features include social common areas such as gym, theater room, barbecue terrace, lobby and game room. As StueHousing, we are a company that offers short and long-term accommodation services to international students. All our apartments are rented to young and international students. For this reason, while you stay safe and comfortable, you can also socialize with your roommates and have a unique experience in Toronto. Available from April 21st.",6 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/brand-new-master-room-at-121-low-sherbourne-st-from-stuehousing/1687959943
Three bedroom detached home for rent Etobicoke,3200,"3 Hum Cresenct, Etobicoke, PE, M9V 4G3",2024-03-12 00:09:06,House,3,2,,Not Included,3+,1 Year,"March 1, 2024",Limited,Not Available,No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,Property: Bright & Spacious Detached Home With 3 Bedroom & 2 Bathrooms This Corner Lot Home Has A Huge Backyard That Is Ideal For Young Growing Family The Driveway Can Easily Accommodate Two Full Size Vehicles,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/three-bedroom-detached-home-for-rent-etobicoke/1685025591
165 Jameson Ave - 165 Jameson Ave Apartment for Rent,2019,"165 Jameson Ave, Toronto, ON, M6K 2Y5",2024-03-12 00:09:05,Apartment,Bachelor/Studio,1,,Not Included,0,1 Year,,Yes,710,No,No,Not Included,No,Fridge / Freezer,Elevator in Building,"Welcome to 165 Jameson Avenue, located in trendy Parkdale near Liberty Village. Your new community is packed with specialty shops, great restaurants, bars, and boutiques. There are public schools, private schools, and Catholic schools nearby and the 501 streetcar and the 24 -hour Queen Street streetcar easily connects you to downtown Toronto in minutes. Enjoy easy access to the Gardiner Expressway if you prefer to commute by car. Your home is a short walk away from the fabulous galleries and nightlife of Queen West, the trendsetting shops of Liberty Village, and the impressive restaurants of Roncesvalles Village. The CNE, BMO Field and Allan Lamport Stadium are all near your new neighbourhood. When you need to recharge in nature, stroll on the waterfront trail along Lake Ontario to High Park – the largest park in the city.Your bright and modern rental apartment features sleek kitchens with subway tile and stainless steel appliances including a dishwasher. Relax after a long day, or get up early and watch the sunrise on your private balcony. Laundry facilities are located on-site and you'll never have to hunt for a parking space, or scrape ice off of your car, thanks to our underground parking area. Our friendly on-site management team will handle any maintenance issues, in the building or in your suite, quickly and professionally.Your new home at 165 Jameson Avenue offers you the comfort, convenience and style of city living at its best. Welcome to the next chapter of your story. Located in trendy Parkdale, near Liberty Village, your new neighbourhood is packed with chic and fun shops, bars, boutiques, specialty stores and excellent restaurants. Our property is conveniently located just a 10-second walk to the 24-hour Queen Street streetcar which will help you zip across town with ease. Commuting from here is hassle-free as we are minutes from the Gardiner Expressway and a mere 10-minute streetcar ride to the center of downtown Toronto. The fabulous galleries, shops and restaurants of Queen West are just five minutes away and you're only 10 minutes from the charming shops and restaurants of Roncesvalles Village. If you have children, you'll be pleased to learn that the area boasts private schools, public schools and Catholic schools, as well as many recreation facilities. Sports fans will love being close to BMO Field and Allan Lamport Stadium. You'll never be bored as the CNE, home to countless fun festivals, shows and events, is also only minutes away. There's a vibrant nightlife scene in the area with beloved Toronto landmarks like The Drake Hotel, Parts and Labour and The Gladstone located nearby. Nature lovers will appreciate that we are close to some of the city's best parks including High Park, Trinity Bellwoods, and the waterfront greenspaces of Marilyn Bell Park and Budapest Park.Building Overivew",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/165-jameson-ave-165-jameson-ave-apartment-for-rent/1682352944
157 Jameson Ave - 157 Jameson Ave Apartment for Rent,2219,"157 Jameson Ave, Toronto, ON, M6K 2Y4",2024-03-12 00:09:05,Apartment,1,1,,Not Included,0,1 Year,,Yes,747,No,No,Not Included,No,Fridge / Freezer,,"Welcome to 157 Jameson Avenue, located in trendy Parkdale near Liberty Village. Your new community is packed with specialty shops, great restaurants, bars, and boutiques. There are public schools, private schools, and Catholic schools nearby and the 501 streetcar and the 24 -hour Queen Street streetcar easily connects you to downtown Toronto in minutes. Enjoy easy access to the Gardiner Expressway if you prefer to commute by car. Your home is a short walk away from the fabulous galleries and nightlife of Queen West, the trendsetting shops of Liberty Village, and the impressive restaurants of Roncesvalles Village. The CNE, BMO Field and Allan Lamport Stadium are all near your new neighbourhood. When you need to recharge in nature, stroll on the waterfront trail along Lake Ontario to High Park – the largest park in the city.Your bright and modern rental apartment features sleek kitchens with subway tile and stainless steel appliances including a dishwasher. Relax after a long day, or get up early and watch the sunrise on your private balcony. Laundry facilities are located on-site and you'll never have to hunt for a parking space, or scrape ice off of your car, thanks to our underground parking area. Our friendly on-site management team will handle any maintenance issues, in the building or in your suite, quickly and professionally.Your new home at 157 Jameson Avenue offers you the comfort, convenience and style of city living at its best. Welcome to the next chapter of your story. Located in trendy Parkdale, near Liberty Village, your new neighbourhood is packed with chic and fun shops, bars, boutiques, specialty stores and excellent restaurants. Our property is conveniently located just a 10-second walk to the 24-hour Queen Street streetcar which will help you zip across town with ease. Commuting from here is hassle-free as we are minutes from the Gardiner Expressway and a mere 10-minute streetcar ride to the center of downtown Toronto. The fabulous galleries, shops and restaurants of Queen West are just five minutes away and you're only 10 minutes from the charming shops and restaurants of Roncesvalles Village. If you have children, you'll be pleased to learn that the area boasts private schools, public schools and Catholic schools, as well as many recreation facilities. Sports fans will love being close to BMO Field and Allan Lamport Stadium. You'll never be bored as the CNE, home to countless fun festivals, shows and events, is also only minutes away. There's a vibrant nightlife scene in the area with beloved Toronto landmarks like The Drake Hotel, Parts and Labour and The Gladstone located nearby. Nature lovers will appreciate that we are close to some of the city's best parks including High Park, Trinity Bellwoods, and the waterfront greenspaces of Marilyn Bell Park and Budapest Park.Building Overivew",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/157-jameson-ave-157-jameson-ave-apartment-for-rent/1682352924
128 Sheridan Avenue - Sheridan Apartment for Rent,2399,"128 Sheridan Avenue, Toronto, ON, M6K 2H4",2024-03-12 00:09:05,Apartment,1,1,,Not Included,0,1 Year,,No,470,No,No,Not Included,No,Fridge / Freezer,Elevator in Building,"Welcome to 128 Sheridan, offering family-friendly apartments in a quiet neighbourhood nestled in the heart of Toronto's downtown. The suites at 128 Sheridan are unconventionally roomy, beating out the average size of comparable downtown apartments by more than 150sqft. At an affordable price, residents also enjoy uniquely partitioned layouts, lots of storage and closet space, and expansive windows allowing lots of natural light to flood your home. Additional conveniences include a live in building manager, 24/7 emergency assistance line, on-site laundry, and lots of parking - both indoor and outdoor!128 Sheridan is located between Parkdale and Trinity Bellwoods and offers quick access to the TTC subway stations via the streetcar system. Close by, you'll find plenty of schools, parks, entertainment, restaurants, grocery stores, and more - all within walking distance. Experience peaceful city living in the heart of downtown Toronto at 128 Sheridan. nullBuilding Overivew",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/128-sheridan-avenue-sheridan-apartment-for-rent/1682352939
165 Jameson Ave - 165 Jameson Ave Apartment for Rent,2299,"165 Jameson Ave, Toronto, ON, M6K 2Y5",2024-03-12 00:09:05,Apartment,1,1,,Not Included,0,1 Year,,Yes,710,No,No,Not Included,No,Fridge / Freezer,Elevator in Building,"Welcome to 165 Jameson Avenue, located in trendy Parkdale near Liberty Village. Your new community is packed with specialty shops, great restaurants, bars, and boutiques. There are public schools, private schools, and Catholic schools nearby and the 501 streetcar and the 24 -hour Queen Street streetcar easily connects you to downtown Toronto in minutes. Enjoy easy access to the Gardiner Expressway if you prefer to commute by car. Your home is a short walk away from the fabulous galleries and nightlife of Queen West, the trendsetting shops of Liberty Village, and the impressive restaurants of Roncesvalles Village. The CNE, BMO Field and Allan Lamport Stadium are all near your new neighbourhood. When you need to recharge in nature, stroll on the waterfront trail along Lake Ontario to High Park – the largest park in the city.Your bright and modern rental apartment features sleek kitchens with subway tile and stainless steel appliances including a dishwasher. Relax after a long day, or get up early and watch the sunrise on your private balcony. Laundry facilities are located on-site and you'll never have to hunt for a parking space, or scrape ice off of your car, thanks to our underground parking area. Our friendly on-site management team will handle any maintenance issues, in the building or in your suite, quickly and professionally.Your new home at 165 Jameson Avenue offers you the comfort, convenience and style of city living at its best. Welcome to the next chapter of your story. Located in trendy Parkdale, near Liberty Village, your new neighbourhood is packed with chic and fun shops, bars, boutiques, specialty stores and excellent restaurants. Our property is conveniently located just a 10-second walk to the 24-hour Queen Street streetcar which will help you zip across town with ease. Commuting from here is hassle-free as we are minutes from the Gardiner Expressway and a mere 10-minute streetcar ride to the center of downtown Toronto. The fabulous galleries, shops and restaurants of Queen West are just five minutes away and you're only 10 minutes from the charming shops and restaurants of Roncesvalles Village. If you have children, you'll be pleased to learn that the area boasts private schools, public schools and Catholic schools, as well as many recreation facilities. Sports fans will love being close to BMO Field and Allan Lamport Stadium. You'll never be bored as the CNE, home to countless fun festivals, shows and events, is also only minutes away. There's a vibrant nightlife scene in the area with beloved Toronto landmarks like The Drake Hotel, Parts and Labour and The Gladstone located nearby. Nature lovers will appreciate that we are close to some of the city's best parks including High Park, Trinity Bellwoods, and the waterfront greenspaces of Marilyn Bell Park and Budapest Park.Building Overivew",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/165-jameson-ave-165-jameson-ave-apartment-for-rent/1682352940
Yonge Eglinton Apartments – Duplex - 2 Bdrm available at 411 Dup,3315,"411 Duplex Avenue, Toronto, ON, M4R 1V2",2024-03-12 00:09:02,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,"1,125",No,Yes,Balcony,No,Laundry (In Building),"Pool, Bicycle Parking, Elevator in Building",No Last Month's Rent Deposit,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge-eglinton-apartments-duplex-2-bdrm-available-at-411-dup/1680104923
"10, 40 & 50 Carabob Court - Two Bedroom Apartment Apartment for",2650,"10 Carabob Court, Scarborough, ON, M1T 3N3",2024-03-12 00:09:01,Apartment,2,1.5,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"May 1, 2024",Yes,Not Available,No,No,Not Included,No,,,"At Carabob Court, we offer you comfort and economy in an attractive setting, with large suites. Steps to schools, Agincourt Library, shopping, banks, medical offices, and countless other amenities. TTC is at your door including a 24 hour bus route, or a short walk to the GO Station, as well as easy highway access. For a small, yearly membership fee, you can enjoy full use of our year round fitness and recreational facilities at 50 Carabob Court, which feature saunas, card rooms and an indoor pool. Our Rental Office is located at located at 50 Carabob Court, call 416-754-8523 or email today to book your virtual tour. We have non-contact options available for tours and signing, and are looking forward to working with you.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/10-40-50-carabob-court-two-bedroom-apartment-apartment-for/1677390918
One Month Free!! - Newly Designed Suites Available Now,2397,"109 Jameson Avenue, Toronto, ON, M6K 6K2",2024-03-12 00:09:00,Apartment,1 + Den,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"August 1, 2023",Yes,733,No,No,Balcony,No,"Laundry (In Building), Dishwasher, Fridge / Freezer",Elevator in Building,South Parkdale/King West,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-month-free-newly-designed-suites-available-now/1666279202
"Room for rent for $ 600 at Hwy 7 & Hwy 27 Woodbridge, ON",600,"9 Sedan Court, Woodbridge, ON, L4L 3W2",2024-03-12 00:08:39,,,,,,,,,No,,No,,,,,,"Indian, Pakistani, Urdu,Hindi, Bangali speaking Female Students Only welcome at 9 Sedan Court Wood Bridge where all utilities like wifi, laundry, heat, gas, hydro, water all included in $ 600 per month rental. This room rental is close to Highway 7 / Highway 27 and intersection.For Email:ricelakerealtyinc@gmail.comcall or whatsup: 437 781 4353 call or text,647-578-3614 call or text.",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-for-600-at-hwy-7-hwy-27-woodbridge-on/1684970052
